自治体コード,自治体,年,年齢階級,年齢開始,総数,男,女,日本人,外国人
13123,江戸川区,2026,55～59,55,55136,28836,26300,53074,2062
13123,江戸川区,2026,60～64,60,43549,23088,20461,42151,1398
13123,江戸川区,2026,65～69,65,30832,16052,14780,29951,881
13123,江戸川区,2026,70～74,70,29521,14598,14923,29010,511
13123,江戸川区,2026,75～79,75,33928,15353,18575,33666,262
13123,江戸川区,2026,80～84,80,25283,10085,15198,25130,153
13123,江戸川区,2026,85～89,85,17270,6194,11076,17197,73
13123,江戸川区,2026,90～94,90,8135,2499,5636,8104,31
13123,江戸川区,2026,95～99,95,1814,375,1439,1806,8
13123,江戸川区,2026,100以上,100,261,31,230,260,1
