国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,3,13380,三宅支庁,-6,-3,-83,66,0,-8,-1,-3,-3,3,-1,-3,-42
総数,4,13381,三宅村,-6,-3,-69,61,0,-7,-1,-3,-1,3,0,-2,-28
総数,4,13382,御蔵島村,0,0,-14,5,0,-1,0,0,-2,0,-1,-1,-14
総数,3,13400,八丈支庁,3,-2,-120,79,-2,-6,3,0,-2,-4,-2,-8,-61
総数,4,13401,八丈町,3,-2,-111,73,-3,-5,2,1,-3,-4,-2,-7,-58
総数,4,13402,青ヶ島村,0,0,-9,6,1,-1,1,-1,1,0,0,-1,-3
総数,3,13420,小笠原支庁,0,-1,-66,45,-2,-2,-1,-6,1,-3,-1,-1,-37
総数,4,13421,小笠原村,0,-1,-66,45,-2,-2,-1,-6,1,-3,-1,-1,-37
日本人,0,13000,総数,-542,-967,-1662,1235,217,-337,771,-600,139,702,-1252,1378,-918
日本人,1,13100,区部,-681,-802,-534,25,-62,-733,-134,-986,-536,249,-1580,12,-5762
日本人,1,13200,市部,133,-161,-652,809,244,394,884,372,674,386,319,1361,4763
日本人,2,13300,郡部,14,6,17,29,33,22,21,22,16,70,16,15,281
日本人,2,13350,島部,-8,-10,-493,372,2,-20,0,-8,-15,-3,-7,-10,-200
日本人,1,13100,区部,-681,-802,-534,25,-62,-733,-134,-986,-536,249,-1580,12,-5762
日本人,4,13101,千代田区,-9,-39,-138,-90,-29,-27,-35,-73,18,13,-86,-50,-545
日本人,4,13102,中央区,119,-22,-22,-191,-82,-52,12,-115,370,340,60,108,525
日本人,4,13103,港区,-48,-73,-160,-48,-55,-12,-41,-73,-140,-87,-79,-59,-875
日本人,4,13104,新宿区,-140,-314,-226,-195,-136,-71,-70,-271,-259,-182,-384,-219,-2467
日本人,4,13105,文京区,-99,-101,-288,-32,-72,-135,-77,-117,-142,-5,-58,14,-1112
日本人,4,13106,台東区,21,35,-65,-130,-125,-159,8,-75,-62,-163,-34,-92,-841
日本人,4,13107,墨田区,-110,-17,-181,-55,22,-27,-112,-71,-124,-109,-84,-21,-889
日本人,4,13108,江東区,-111,-43,-101,-177,-61,-159,-120,-59,-224,-145,-89,-93,-1382
日本人,4,13109,品川区,78,-69,-1,-151,40,-47,-118,-103,-98,20,-70,2,-517
日本人,4,13110,目黒区,-36,-67,-88,34,-67,-61,-14,-78,-150,-206,-56,2,-787
日本人,4,13111,大田区,-29,122,224,45,111,167,26,39,150,147,-187,82,897
日本人,4,13112,世田谷区,31,-201,206,273,95,-40,-14,-2,122,155,-226,-27,372
日本人,4,13113,渋谷区,-63,-81,-114,-195,-240,-132,-115,-92,-246,-162,-189,-215,-1844
日本人,4,13114,中野区,-188,-195,-154,-83,52,-85,-188,-190,-130,-96,-198,-76,-1531
日本人,4,13115,杉並区,-104,43,52,24,88,-129,88,-51,-44,1,-84,-30,-146
日本人,4,13116,豊島区,-69,-125,-272,-145,-159,-158,-124,-63,-108,-124,-118,-64,-1529
日本人,4,13117,北区,-86,128,316,241,56,145,55,-58,15,58,-32,71,909
日本人,4,13118,荒川区,-29,19,-25,109,82,-16,-15,63,117,20,2,-94,233
日本人,4,13119,板橋区,-117,-39,182,-71,158,-5,81,204,12,18,77,125,625
日本人,4,13120,練馬区,97,8,124,256,52,53,169,38,-24,264,126,178,1341
日本人,4,13121,足立区,166,273,298,251,175,158,165,71,163,294,133,280,2427
日本人,4,13122,葛飾区,-79,-47,-6,47,-6,1,127,92,131,114,-25,-7,342
日本人,4,13123,江戸川区,124,3,-95,308,39,58,178,-2,117,84,21,197,1032
日本人,1,13200,市部,133,-161,-652,809,244,394,884,372,674,386,319,1361,4763
日本人,4,13201,八王子市,56,-132,-436,1,-57,-35,-17,34,-35,86,-11,35,-511
日本人,4,13202,立川市,17,59,44,202,96,-67,18,10,13,37,17,27,473
