国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,令和7年中の増減
外国人,3,13360,大島支庁,1,-3,0,2,2,-4,4,1,1,6,2,3,15
外国人,4,13361,大島町,1,-6,0,1,3,-2,2,1,1,4,2,3,10
外国人,4,13362,利島村,0,0,0,1,0,0,1,0,0,1,0,0,3
外国人,4,13363,新島村,0,0,0,0,-1,0,1,0,0,0,0,0,0
外国人,4,13364,神津島村,0,3,0,0,0,-2,0,0,0,1,0,0,2
外国人,3,13380,三宅支庁,0,0,-2,0,1,0,3,0,0,-1,0,0,1
外国人,4,13381,三宅村,0,0,-2,0,0,0,2,0,0,-1,0,0,-1
外国人,4,13382,御蔵島村,0,0,0,0,1,0,1,0,0,0,0,0,2
外国人,3,13400,八丈支庁,0,0,1,0,-1,-6,5,1,0,2,0,-3,-1
外国人,4,13401,八丈町,0,0,1,0,-1,-6,5,1,0,2,0,-3,-1
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13420,小笠原支庁,0,0,0,0,0,0,0,1,0,0,0,0,1
外国人,4,13421,小笠原村,0,0,0,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,,,,
人口の動き（令和7年中）,,,,,,,,,,,,,,,,
第17ー１・２・３表　区市町村、月別その他の増減（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
