国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和7年中の死亡数
総数,4,13421,小笠原村,1,3,0,2,1,4,1,1,1,1,0,3,18
日本人,0,13000,総数,16738,11946,12504,11319,10825,9873,10632,10578,10829,11317,10672,12026,139259
日本人,1,13100,区部,10970,7709,8174,7479,7144,6511,7119,6948,7060,7400,7030,7897,91441
日本人,1,13200,市部,5610,4102,4201,3734,3555,3261,3406,3522,3649,3796,3516,3984,46336
日本人,2,13300,郡部,114,98,90,75,93,79,83,80,87,92,89,111,1091
日本人,2,13350,島部,44,37,39,31,33,22,24,28,33,29,37,34,391
日本人,1,13100,区部,10970,7709,8174,7479,7144,6511,7119,6948,7060,7400,7030,7897,91441
日本人,4,13101,千代田区,44,42,40,34,35,36,39,44,32,44,33,35,458
日本人,4,13102,中央区,122,104,102,72,85,76,76,89,85,95,91,91,1088
日本人,4,13103,港区,204,154,161,142,153,117,134,125,124,156,120,150,1740
日本人,4,13104,新宿区,347,251,226,293,223,188,229,225,240,238,208,260,2928
日本人,4,13105,文京区,222,147,174,153,140,117,155,145,138,157,150,126,1824
日本人,4,13106,台東区,262,150,171,159,159,148,174,147,159,146,160,165,2000
日本人,4,13107,墨田区,304,242,268,208,192,209,239,179,191,213,234,234,2713
日本人,4,13108,江東区,572,391,433,382,371,358,333,347,344,384,362,381,4658
日本人,4,13109,品川区,443,270,330,294,242,275,289,274,300,304,265,285,3571
日本人,4,13110,目黒区,281,189,190,219,193,168,155,160,189,191,187,174,2296
日本人,4,13111,大田区,878,636,669,603,539,489,585,558,600,617,576,596,7346
日本人,4,13112,世田谷区,900,625,715,610,653,564,577,607,557,610,535,761,7714
日本人,4,13113,渋谷区,211,122,176,154,156,144,161,125,144,156,134,167,1850
日本人,4,13114,中野区,372,279,283,245,232,207,241,245,248,246,230,271,3099
日本人,4,13115,杉並区,570,438,443,406,394,362,407,399,386,380,408,437,5030
日本人,4,13116,豊島区,273,222,199,219,222,170,194,198,206,223,180,225,2531
日本人,4,13117,北区,485,332,364,285,315,269,290,303,286,324,281,366,3900
日本人,4,13118,荒川区,292,184,218,199,169,160,200,157,171,156,180,182,2268
日本人,4,13119,板橋区,747,486,506,515,470,421,470,474,470,480,479,532,6050
日本人,4,13120,練馬区,889,616,633,581,547,502,595,586,556,577,620,633,7335
日本人,4,13121,足立区,1087,755,761,706,692,608,638,601,655,732,666,742,8643
日本人,4,13122,葛飾区,647,462,467,431,412,397,387,426,427,409,407,471,5343
日本人,4,13123,江戸川区,818,612,645,569,550,526,551,534,552,562,524,613,7056
日本人,1,13200,市部,5610,4102,4201,3734,3555,3261,3406,3522,3649,3796,3516,3984,46336
日本人,4,13201,八王子市,879,571,633,591,530,487,504,526,554,580,498,626,6979
日本人,4,13202,立川市,235,194,172,170,166,150,145,150,156,154,154,141,1987
日本人,4,13203,武蔵野市,135,121,124,98,93,85,106,103,94,98,109,108,1274
日本人,4,13204,三鷹市,223,144,181,154,156,110,118,159,144,171,131,146,1837
日本人,4,13205,青梅市,253,186,186,165,123,142,155,152,146,150,158,171,1987
日本人,4,13206,府中市,321,214,241,196,178,173,185,202,220,199,219,213,2561
日本人,4,13207,昭島市,155,107,137,107,98,102,91,110,102,115,101,119,1344
日本人,4,13208,調布市,271,198,200,173,178,162,166,166,160,171,149,196,2190
日本人,4,13209,町田市,625,447,460,412,391,338,366,375,440,422,396,456,5128
日本人,4,13210,小金井市,150,100,93,77,91,65,97,96,92,72,80,91,1104
日本人,4,13211,小平市,244,199,167,161,140,135,172,147,169,186,152,172,2044
日本人,4,13212,日野市,202,196,172,147,151,138,139,147,142,159,144,184,1921
日本人,4,13213,東村山市,219,191,163,143,131,133,143,124,142,143,140,158,1830
日本人,4,13214,国分寺市,147,107,107,91,88,92,71,79,75,93,95,111,1156
日本人,4,13215,国立市,88,63,63,64,59,61,64,68,64,73,55,42,764
日本人,4,13218,福生市,85,68,65,66,59,46,56,55,60,61,56,72,749
日本人,4,13219,狛江市,101,82,83,48,69,61,72,70,69,83,60,74,872
日本人,4,13220,東大和市,108,100,109,78,84,67,70,69,66,86,75,85,997
日本人,4,13221,清瀬市,117,74,80,88,65,69,73,93,64,62,69,74,928
日本人,4,13222,東久留米市,181,116,121,125,108,81,121,104,119,106,107,148,1437
日本人,4,13223,武蔵村山市,115,71,85,66,82,60,61,68,76,70,65,79,898
日本人,4,13224,多摩市,188,135,141,112,145,131,112,119,128,135,140,138,1624
日本人,4,13225,稲城市,98,64,70,61,65,53,54,58,68,69,61,69,790
日本人,4,13227,羽村市,76,67,70,61,73,54,44,34,35,52,49,52,667
日本人,4,13228,あきる野市,124,104,104,102,70,92,76,82,103,93,78,97,1125
日本人,4,13229,西東京市,270,183,174,178,162,174,145,166,161,193,175,162,2143
日本人,1,13550,町村部,158,135,129,106,126,101,107,108,120,121,126,145,1482
日本人,2,13300,郡部,114,98,90,75,93,79,83,80,87,92,89,111,1091
日本人,4,13303,瑞穂町,47,41,34,25,38,34,38,36,33,38,38,42,444
日本人,4,13305,日の出町,44,31,31,27,31,31,23,31,38,36,31,41,395
日本人,4,13307,檜原村,11,5,11,6,6,4,8,2,2,4,10,7,76
日本人,4,13308,奥多摩町,12,21,14,17,18,10,14,11,14,14,10,21,176
日本人,2,13350,島部,44,37,39,31,33,22,24,28,33,29,37,34,391
日本人,3,13360,大島支庁,24,20,20,16,16,11,12,15,12,13,22,17,198
日本人,4,13361,大島町,15,15,17,11,11,4,8,7,8,8,13,11,128
日本人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
日本人,4,13363,新島村,4,5,0,4,4,6,3,5,2,3,5,4,45
日本人,4,13364,神津島村,5,0,3,1,1,1,1,3,2,2,4,2,25
日本人,3,13380,三宅支庁,3,4,5,2,3,2,3,1,4,5,2,6,40
日本人,4,13381,三宅村,2,4,5,2,3,2,3,1,4,5,2,6,39
日本人,4,13382,御蔵島村,1,0,0,0,0,0,0,0,0,0,0,0,1
日本人,3,13400,八丈支庁,16,10,14,11,13,5,8,11,16,10,13,8,135
