国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,0,13000,総数,1655,2059,32115,14747,3880,2242,2484,745,2365,1229,-1247,-667,61607
総数,1,13100,区部,1177,1825,25678,9869,2993,1667,1227,239,1402,243,-1542,-1359,43419
総数,1,13200,市部,476,254,6598,4799,902,569,1260,502,940,964,289,709,18262
総数,2,13300,郡部,17,-7,8,-20,-3,10,-3,7,20,25,18,0,72
総数,2,13350,島部,-15,-13,-169,99,-12,-4,0,-3,3,-3,-12,-17,-146
総数,1,13100,区部,1177,1825,25678,9869,2993,1667,1227,239,1402,243,-1542,-1359,43419
総数,4,13101,千代田区,38,44,179,195,24,25,13,14,66,4,-28,8,582
総数,4,13102,中央区,74,30,568,170,28,34,10,18,198,151,125,-24,1382
総数,4,13103,港区,29,74,534,155,95,62,50,-26,25,28,-30,-15,981
総数,4,13104,新宿区,91,-60,219,73,163,69,130,142,81,-17,-68,-113,710
総数,4,13105,文京区,92,35,543,392,139,72,89,68,129,123,12,79,1773
総数,4,13106,台東区,68,132,339,217,62,82,62,-10,50,137,-30,18,1127
総数,4,13107,墨田区,193,85,635,146,221,99,166,46,54,66,0,71,1782
総数,4,13108,江東区,176,99,1286,375,191,89,137,-3,38,-26,-119,-114,2129
総数,4,13109,品川区,107,170,1575,459,132,159,79,67,219,26,5,58,3056
総数,4,13110,目黒区,120,80,919,369,71,-8,23,-16,-52,50,-43,-67,1446
総数,4,13111,大田区,-679,19,3021,821,369,264,76,12,179,-67,-245,-245,3525
総数,4,13112,世田谷区,159,162,2480,1026,156,155,25,-127,75,49,-103,-102,3955
総数,4,13113,渋谷区,28,40,633,257,111,-33,76,33,43,-17,-8,-52,1111
総数,4,13114,中野区,80,90,1037,427,145,-15,46,22,125,76,-51,-33,1949
総数,4,13115,杉並区,142,261,1958,861,138,129,51,36,179,32,-109,55,3733
総数,4,13116,豊島区,18,64,321,408,106,54,29,-11,-15,-158,-46,-113,657
総数,4,13117,北区,71,85,1071,560,210,132,-24,22,-9,-122,-137,-25,1834
総数,4,13118,荒川区,46,35,328,147,142,-10,71,-7,52,45,-5,16,860
総数,4,13119,板橋区,49,89,2084,653,133,44,-50,-43,-80,66,-172,-230,2543
総数,4,13120,練馬区,-2,90,1945,678,46,130,-15,163,6,44,-74,-121,2890
総数,4,13121,足立区,88,240,1880,549,219,110,159,-101,206,-42,-114,-178,3016
総数,4,13122,葛飾区,-10,40,1257,333,11,118,-44,-71,-78,-91,-161,-64,1240
総数,4,13123,江戸川区,199,-79,866,598,81,-94,68,11,-89,-114,-141,-168,1138
総数,1,13200,市部,476,254,6598,4799,902,569,1260,502,940,964,289,709,18262
総数,4,13201,八王子市,98,-31,807,1170,196,28,158,67,87,151,41,110,2882
総数,4,13202,立川市,44,-8,465,164,73,27,96,74,128,80,22,46,1211
総数,4,13203,武蔵野市,35,13,473,198,34,-46,28,-21,-32,4,26,33,745
総数,4,13204,三鷹市,-10,-25,453,223,46,22,51,42,8,-1,-21,-14,774
総数,4,13205,青梅市,7,37,16,44,10,56,33,68,17,60,40,16,404
総数,4,13206,府中市,19,-46,597,560,3,6,202,-87,337,57,-37,-3,1608
総数,4,13207,昭島市,12,-26,43,35,3,4,-4,-41,6,-17,37,10,62
総数,4,13208,調布市,-34,42,529,316,113,57,78,9,21,25,7,-21,1142
総数,4,13209,町田市,113,214,661,424,204,189,284,121,189,153,40,284,2876
