国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,4,13210,小金井市,4,17,263,133,35,29,22,-29,48,24,-7,-18,521
総数,4,13211,小平市,-1,-12,120,323,-1,3,63,45,15,59,-20,36,630
総数,4,13212,日野市,-18,25,366,193,22,46,16,46,24,63,2,63,848
総数,4,13213,東村山市,-9,-20,111,151,0,-14,6,35,-30,0,7,-13,224
総数,4,13214,国分寺市,-6,18,345,243,57,53,39,10,17,34,-26,-13,771
総数,4,13215,国立市,15,-46,175,121,65,13,6,-13,60,24,9,6,435
総数,4,13218,福生市,12,16,17,-5,22,8,36,11,25,44,23,-13,196
総数,4,13219,狛江市,15,5,213,105,-26,5,44,16,0,39,17,-8,425
総数,4,13220,東大和市,4,-17,38,6,-18,-8,2,-13,17,4,1,6,22
総数,4,13221,清瀬市,36,25,168,94,23,18,23,13,7,24,16,32,479
総数,4,13222,東久留米市,6,-31,47,9,-7,-14,-32,15,-14,31,30,-13,27
総数,4,13223,武蔵村山市,17,20,1,48,3,15,-8,-4,6,33,39,33,203
総数,4,13224,多摩市,43,18,210,78,5,18,44,72,-10,14,7,24,523
総数,4,13225,稲城市,25,60,293,67,61,24,26,38,19,7,56,108,784
総数,4,13227,羽村市,26,24,-39,-13,2,4,41,21,-19,16,-7,20,76
総数,4,13228,あきる野市,13,-9,-29,-13,-10,22,-15,-10,4,24,18,7,2
総数,4,13229,西東京市,10,-9,255,125,-13,4,21,17,10,12,-31,-9,392
総数,1,13550,町村部,2,-20,-161,79,-15,6,-3,4,23,22,6,-17,-74
総数,2,13300,郡部,17,-7,8,-20,-3,10,-3,7,20,25,18,0,72
総数,4,13303,瑞穂町,4,-5,5,-20,11,8,2,12,18,18,13,1,67
総数,4,13305,日の出町,1,-3,3,-7,-16,-3,-6,-4,-1,12,5,-3,-22
総数,4,13307,檜原村,3,-1,3,0,-1,1,0,4,2,0,-1,2,12
総数,4,13308,奥多摩町,9,2,-3,7,3,4,1,-5,1,-5,1,0,15
総数,2,13350,島部,-15,-13,-169,99,-12,-4,0,-3,3,-3,-12,-17,-146
総数,3,13360,大島支庁,-9,-8,-66,27,-2,-8,2,-13,-15,-8,-11,-6,-117
総数,4,13361,大島町,-6,-3,-52,13,-3,-6,3,-18,-10,-3,-1,-7,-93
総数,4,13362,利島村,-1,0,-6,2,-1,2,-1,2,-1,0,-3,1,-6
総数,4,13363,新島村,-1,-2,-3,4,2,0,1,-1,-2,-6,-3,-2,-13
総数,4,13364,神津島村,-1,-3,-5,8,0,-4,-1,4,-2,1,-4,2,-5
総数,3,13380,三宅支庁,-3,3,-31,17,-6,2,-2,0,0,4,-2,-2,-20
総数,4,13381,三宅村,-3,3,-25,13,-1,0,-2,-1,-1,4,0,-1,-14
総数,4,13382,御蔵島村,0,0,-6,4,-5,2,0,1,1,0,-2,-1,-6
総数,3,13400,八丈支庁,-4,-4,-46,36,-5,3,3,10,3,2,-3,-5,-10
総数,4,13401,八丈町,-4,-1,-45,33,-4,2,4,11,3,2,-3,-5,-7
総数,4,13402,青ヶ島村,0,-3,-1,3,-1,1,-1,-1,0,0,0,0,-3
総数,3,13420,小笠原支庁,1,-4,-26,19,1,-1,-3,0,15,-1,4,-4,1
総数,4,13421,小笠原村,1,-4,-26,19,1,-1,-3,0,15,-1,4,-4,1
日本人,0,13000,総数,1107,1901,34637,15129,3469,1859,2299,815,2544,1134,-1058,-591,63245
日本人,1,13100,区部,880,1909,28221,10514,2828,1549,1373,532,1845,379,-1103,-1049,47878
日本人,2,13200,市部,223,20,6594,4539,658,319,931,283,682,744,54,479,15526
日本人,3,13300,郡部,12,-15,-14,-26,-3,-5,-1,3,13,13,9,-1,-15
日本人,3,13350,島部,-8,-13,-164,102,-14,-4,-4,-3,4,-2,-18,-20,-144
日本人,1,13100,区部,880,1909,28221,10514,2828,1549,1373,532,1845,379,-1103,-1049,47878
日本人,5,13101,千代田区,31,40,197,192,29,30,17,13,65,1,-18,6,603
日本人,5,13102,中央区,75,31,565,184,48,31,11,32,176,124,107,-22,1362
日本人,5,13103,港区,22,55,524,176,99,58,61,-12,26,50,-9,-16,1034
日本人,5,13104,新宿区,91,6,1089,445,175,146,153,188,175,43,-42,-56,2413
日本人,5,13105,文京区,83,47,642,415,123,44,80,80,128,111,27,82,1862
日本人,5,13106,台東区,75,136,550,262,92,97,69,14,92,134,-9,37,1549
日本人,5,13107,墨田区,171,64,766,225,196,103,175,63,73,89,11,82,2018
日本人,5,13108,江東区,154,48,1295,421,200,130,123,-6,71,-23,-96,-93,2224
日本人,5,13109,品川区,82,143,1523,422,127,144,85,62,199,41,20,81,2929
日本人,5,13110,目黒区,113,78,913,343,82,18,33,2,-37,53,-62,-90,1446
日本人,5,13111,大田区,-631,35,3011,786,332,294,116,53,244,-38,-167,-221,3814
日本人,5,13112,世田谷区,134,167,2552,964,130,131,17,-123,74,31,-100,-166,3811
日本人,5,13113,渋谷区,22,38,662,282,106,-43,69,34,28,-19,-18,-50,1111
日本人,5,13114,中野区,92,112,1330,537,148,-23,42,6,120,78,-8,-46,2388
日本人,5,13115,杉並区,121,245,2046,881,132,117,67,53,138,14,-96,76,3794
日本人,5,13116,豊島区,2,76,722,518,103,24,77,58,75,-82,-17,-57,1499
日本人,5,13117,北区,71,136,1111,602,193,62,10,66,49,-39,-95,-5,2161
日本人,5,13118,荒川区,69,18,504,183,130,-9,82,4,52,40,29,32,1134
日本人,5,13119,板橋区,-4,98,2203,631,99,34,-19,-50,-42,-2,-113,-178,2657
日本人,5,13120,練馬区,-41,73,1977,632,11,78,-92,123,-16,-1,-113,-119,2512
日本人,5,13121,足立区,62,243,1794,529,139,88,93,-46,187,-48,-123,-97,2821
日本人,5,13122,葛飾区,-22,155,1332,370,69,106,60,-71,8,-42,-57,-48,1860
日本人,5,13123,江戸川区,108,-135,913,514,65,-111,44,-11,-40,-136,-154,-181,876
日本人,2,13200,市部,223,20,6594,4539,658,319,931,283,682,744,54,479,15526
日本人,5,13201,八王子市,72,-80,782,1081,147,-12,105,56,53,165,4,91,2464
日本人,5,13202,立川市,28,-17,432,144,40,29,90,53,111,48,0,33,991
日本人,5,13203,武蔵野市,29,13,461,202,35,-46,26,-27,-36,24,22,33,736
日本人,5,13204,三鷹市,-21,-36,442,209,40,17,34,31,-9,-1,-12,-16,678
日本人,5,13205,青梅市,-5,19,25,49,11,38,31,52,2,44,27,3,296
日本人,5,13206,府中市,7,-43,600,566,-9,4,186,-78,323,67,-28,5,1600
日本人,5,13207,昭島市,11,-26,76,57,7,3,-6,-35,9,-11,22,7,114
日本人,5,13208,調布市,-51,31,519,290,93,43,53,-3,20,20,2,-29,988
日本人,5,13209,町田市,79,150,597,369,192,133,241,75,144,114,17,204,2315
日本人,5,13210,小金井市,-10,16,224,129,22,10,17,-38,45,19,-16,-24,394
日本人,5,13211,小平市,-14,-4,200,274,-19,-23,62,41,-5,40,-37,42,557
日本人,5,13212,日野市,-26,13,360,190,19,36,15,46,17,46,3,55,774
日本人,5,13213,東村山市,-19,-23,150,159,-5,-6,1,46,-19,5,1,-14,276
日本人,5,13214,国分寺市,-8,17,312,215,57,51,25,3,4,32,-24,-16,668
日本人,5,13215,国立市,7,-41,170,107,63,11,6,-13,47,22,10,0,389
日本人,5,13218,福生市,22,8,76,33,12,7,32,16,14,21,13,-22,232
日本人,5,13219,狛江市,4,0,197,78,-32,-5,42,19,-14,39,8,-10,326
日本人,5,13220,東大和市,1,-21,38,15,-13,-7,-2,-20,17,-6,-3,5,4
日本人,5,13221,清瀬市,27,20,154,78,16,15,16,11,11,13,0,19,380
日本人,5,13222,東久留米市,-12,-34,38,13,-12,-30,-37,7,-8,9,19,-16,-63
日本人,5,13223,武蔵村山市,13,8,4,23,-9,7,-24,-4,-5,19,26,26,84
日本人,5,13224,多摩市,43,12,211,93,-1,12,33,47,-14,12,-8,24,464
日本人,5,13225,稲城市,23,56,276,57,57,14,10,33,15,-3,51,97,686
日本人,5,13227,羽村市,20,12,-10,-2,4,3,19,17,-15,16,-18,-1,45
日本人,5,13228,あきる野市,5,-8,-33,-11,-22,8,-26,-15,-1,5,12,2,-84
日本人,5,13229,西東京市,-2,-22,293,121,-35,7,-18,-37,-24,-15,-37,-19,212
日本人,2,13550,町村部,4,-28,-178,76,-17,-9,-5,0,17,11,-9,-21,-159
日本人,3,13300,郡部,12,-15,-14,-26,-3,-5,-1,3,13,13,9,-1,-15
日本人,5,13303,瑞穂町,4,-13,-14,-20,5,-7,2,10,12,5,5,-2,-13
日本人,5,13305,日の出町,-2,-3,-1,-6,-11,-2,-4,-4,-2,12,4,0,-19
日本人,5,13307,檜原村,4,-1,3,-1,-1,1,0,4,2,0,-1,2,12
日本人,5,13308,奥多摩町,6,2,-2,1,4,3,1,-7,1,-4,1,-1,5
日本人,3,13350,島部,-8,-13,-164,102,-14,-4,-4,-3,4,-2,-18,-20,-144
日本人,4,13360,大島支庁,-6,-9,-62,28,-3,-7,0,-13,-15,-8,-13,-6,-114
日本人,5,13361,大島町,-3,-4,-49,14,-4,-3,1,-16,-10,-3,-2,-7,-86
日本人,5,13362,利島村,-1,0,-5,2,-1,2,-1,0,-1,0,-3,1,-7
日本人,5,13363,新島村,-1,-2,-3,4,2,-2,1,-1,-2,-6,-4,-2,-16
日本人,5,13364,神津島村,-1,-3,-5,8,0,-4,-1,4,-2,1,-4,2,-5
日本人,4,13380,三宅支庁,-3,3,-32,17,-7,2,-4,0,0,4,-2,-4,-26
日本人,5,13381,三宅村,-3,3,-26,13,-2,0,-4,-1,-1,4,0,-3,-20
日本人,5,13382,御蔵島村,0,0,-6,4,-5,2,0,1,1,0,-2,-1,-6
日本人,4,13400,八丈支庁,-2,-4,-45,36,-5,3,3,10,4,3,-3,-6,-6
日本人,5,13401,八丈町,-2,-1,-44,33,-4,2,4,11,4,3,-3,-6,-3
日本人,5,13402,青ヶ島村,0,-3,-1,3,-1,1,-1,-1,0,0,0,0,-3
日本人,4,13420,小笠原支庁,3,-3,-25,21,1,-2,-3,0,15,-1,0,-4,2
日本人,5,13421,小笠原村,3,-3,-25,21,1,-2,-3,0,15,-1,0,-4,2
外国人,0,13000,総数,548,158,-2522,-382,411,383,185,-70,-179,95,-189,-76,-1638
外国人,1,13100,区部,297,-84,-2543,-645,165,118,-146,-293,-443,-136,-439,-310,-4459
外国人,2,13200,市部,253,234,4,260,244,250,329,219,258,220,235,230,2736
外国人,3,13300,郡部,5,8,22,6,0,15,-2,4,7,12,9,1,87
外国人,3,13350,島部,-7,0,-5,-3,2,0,4,0,-1,-1,6,3,-2
外国人,1,13100,区部,297,-84,-2543,-645,165,118,-146,-293,-443,-136,-439,-310,-4459
外国人,5,13101,千代田区,7,4,-18,3,-5,-5,-4,1,1,3,-10,2,-21
外国人,5,13102,中央区,-1,-1,3,-14,-20,3,-1,-14,22,27,18,-2,20
外国人,5,13103,港区,7,19,10,-21,-4,4,-11,-14,-1,-22,-21,1,-53
外国人,5,13104,新宿区,0,-66,-870,-372,-12,-77,-23,-46,-94,-60,-26,-57,-1703
外国人,5,13105,文京区,9,-12,-99,-23,16,28,9,-12,1,12,-15,-3,-89
外国人,5,13106,台東区,-7,-4,-211,-45,-30,-15,-7,-24,-42,3,-21,-19,-422
外国人,5,13107,墨田区,22,21,-131,-79,25,-4,-9,-17,-19,-23,-11,-11,-236
外国人,5,13108,江東区,22,51,-9,-46,-9,-41,14,3,-33,-3,-23,-21,-95
外国人,5,13109,品川区,25,27,52,37,5,15,-6,5,20,-15,-15,-23,127
外国人,5,13110,目黒区,7,2,6,26,-11,-26,-10,-18,-15,-3,19,23,0
外国人,5,13111,大田区,-48,-16,10,35,37,-30,-40,-41,-65,-29,-78,-24,-289
外国人,5,13112,世田谷区,25,-5,-72,62,26,24,8,-4,1,18,-3,64,144
外国人,5,13113,渋谷区,6,2,-29,-25,5,10,7,-1,15,2,10,-2,0
外国人,5,13114,中野区,-12,-22,-293,-110,-3,8,4,16,5,-2,-43,13,-439
外国人,5,13115,杉並区,21,16,-88,-20,6,12,-16,-17,41,18,-13,-21,-61
外国人,5,13116,豊島区,16,-12,-401,-110,3,30,-48,-69,-90,-76,-29,-56,-842
外国人,5,13117,北区,0,-51,-40,-42,17,70,-34,-44,-58,-83,-42,-20,-327
外国人,5,13118,荒川区,-23,17,-176,-36,12,-1,-11,-11,0,5,-34,-16,-274
外国人,5,13119,板橋区,53,-9,-119,22,34,10,-31,7,-38,68,-59,-52,-114
外国人,5,13120,練馬区,39,17,-32,46,35,52,77,40,22,45,39,-2,378
外国人,5,13121,足立区,26,-3,86,20,80,22,66,-55,19,6,9,-81,195
外国人,5,13122,葛飾区,12,-115,-75,-37,-58,12,-104,0,-86,-49,-104,-16,-620
外国人,5,13123,江戸川区,91,56,-47,84,16,17,24,22,-49,22,13,13,262
外国人,2,13200,市部,253,234,4,260,244,250,329,219,258,220,235,230,2736
外国人,5,13201,八王子市,26,49,25,89,49,40,53,11,34,-14,37,19,418
外国人,5,13202,立川市,16,9,33,20,33,-2,6,21,17,32,22,13,220
外国人,5,13203,武蔵野市,6,0,12,-4,-1,0,2,6,4,-20,4,0,9
外国人,5,13204,三鷹市,11,11,11,14,6,5,17,11,17,0,-9,2,96
外国人,5,13205,青梅市,12,18,-9,-5,-1,18,2,16,15,16,13,13,108
外国人,5,13206,府中市,12,-3,-3,-6,12,2,16,-9,14,-10,-9,-8,8
外国人,5,13207,昭島市,1,0,-33,-22,-4,1,2,-6,-3,-6,15,3,-52
外国人,5,13208,調布市,17,11,10,26,20,14,25,12,1,5,5,8,154
外国人,5,13209,町田市,34,64,64,55,12,56,43,46,45,39,23,80,561
外国人,5,13210,小金井市,14,1,39,4,13,19,5,9,3,5,9,6,127
外国人,5,13211,小平市,13,-8,-80,49,18,26,1,4,20,19,17,-6,73
外国人,5,13212,日野市,8,12,6,3,3,10,1,0,7,17,-1,8,74
外国人,5,13213,東村山市,10,3,-39,-8,5,-8,5,-11,-11,-5,6,1,-52
外国人,5,13214,国分寺市,2,1,33,28,0,2,14,7,13,2,-2,3,103
外国人,5,13215,国立市,8,-5,5,14,2,2,0,0,13,2,-1,6,46
外国人,5,13218,福生市,-10,8,-59,-38,10,1,4,-5,11,23,10,9,-36
外国人,5,13219,狛江市,11,5,16,27,6,10,2,-3,14,0,9,2,99
外国人,5,13220,東大和市,3,4,0,-9,-5,-1,4,7,0,10,4,1,18
外国人,5,13221,清瀬市,9,5,14,16,7,3,7,2,-4,11,16,13,99
外国人,5,13222,東久留米市,18,3,9,-4,5,16,5,8,-6,22,11,3,90
外国人,5,13223,武蔵村山市,4,12,-3,25,12,8,16,0,11,14,13,7,119
外国人,5,13224,多摩市,0,6,-1,-15,6,6,11,25,4,2,15,0,59
外国人,5,13225,稲城市,2,4,17,10,4,10,16,5,4,10,5,11,98
外国人,5,13227,羽村市,6,12,-29,-11,-2,1,22,4,-4,0,11,21,31
外国人,5,13228,あきる野市,8,-1,4,-2,12,14,11,5,5,19,6,5,86
外国人,5,13229,西東京市,12,13,-38,4,22,-3,39,54,34,27,6,10,180
外国人,2,13550,町村部,-2,8,17,3,2,15,2,4,6,11,15,4,85
外国人,3,13300,郡部,5,8,22,6,0,15,-2,4,7,12,9,1,87
外国人,5,13303,瑞穂町,0,8,19,0,6,15,0,2,6,13,8,3,80
外国人,5,13305,日の出町,3,0,4,-1,-5,-1,-2,0,1,0,1,-3,-3
外国人,5,13307,檜原村,-1,0,0,1,0,0,0,0,0,0,0,0,0
外国人,5,13308,奥多摩町,3,0,-1,6,-1,1,0,2,0,-1,0,1,10
外国人,3,13350,島部,-7,0,-5,-3,2,0,4,0,-1,-1,6,3,-2
外国人,4,13360,大島支庁,-3,1,-4,-1,1,-1,2,0,0,0,2,0,-3
外国人,5,13361,大島町,-3,1,-3,-1,1,-3,2,-2,0,0,1,0,-7
外国人,5,13362,利島村,0,0,-1,0,0,0,0,2,0,0,0,0,1
外国人,5,13363,新島村,0,0,0,0,0,2,0,0,0,0,1,0,3
外国人,5,13364,神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13380,三宅支庁,0,0,1,0,1,0,2,0,0,0,0,2,6
外国人,5,13381,三宅村,0,0,1,0,1,0,2,0,0,0,0,2,6
外国人,5,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13400,八丈支庁,-2,0,-1,0,0,0,0,0,-1,-1,0,1,-4
外国人,5,13401,八丈町,-2,0,-1,0,0,0,0,0,-1,-1,0,1,-4
外国人,5,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13420,小笠原支庁,-2,-1,-1,-2,0,1,0,0,0,0,4,0,-1
外国人,5,13421,小笠原村,-2,-1,-1,-2,0,1,0,0,0,0,4,0,-1
,,,,,,,,,,,,,,,,
人口の動き（令和7年中）,,,,,,,,,,,,,,,,
第８ー１・２・３表  区市町村、月別他県移動増減（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
