国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,令和7年中の出生数
日本人,4,13108,江東区,294,207,262,280,292,284,320,275,327,282,281,293,3397
日本人,4,13109,品川区,235,223,220,252,306,266,276,285,259,278,228,221,3049
日本人,4,13110,目黒区,160,161,140,171,173,189,175,191,150,184,146,159,1999
日本人,4,13111,大田区,374,300,338,385,378,365,410,389,446,420,365,397,4567
日本人,4,13112,世田谷区,462,415,417,466,503,516,547,555,520,536,450,473,5860
日本人,4,13113,渋谷区,134,135,115,143,126,137,139,125,140,149,116,135,1594
日本人,4,13114,中野区,179,165,130,173,178,187,162,181,184,179,156,174,2048
日本人,4,13115,杉並区,279,245,248,273,315,309,328,315,306,334,298,307,3557
日本人,4,13116,豊島区,138,117,100,118,166,130,149,150,148,157,146,155,1674
日本人,4,13117,北区,195,168,142,185,206,218,242,175,200,181,179,167,2258
日本人,4,13118,荒川区,89,96,100,114,148,122,124,111,126,120,115,112,1377
日本人,4,13119,板橋区,285,227,227,240,278,265,300,302,305,293,266,272,3260
日本人,4,13120,練馬区,403,324,347,396,451,397,465,428,444,448,354,381,4838
日本人,4,13121,足立区,328,280,298,370,334,329,320,341,344,338,286,324,3892
日本人,4,13122,葛飾区,236,200,204,213,225,239,250,233,239,233,206,229,2707
日本人,4,13123,江戸川区,322,305,287,363,328,365,373,343,345,385,319,364,4099
日本人,1,13200,市部,1875,1579,1642,1853,1927,1932,2069,1950,1969,1998,1866,1849,22509
日本人,4,13201,八王子市,199,179,186,201,204,198,237,194,195,229,229,195,2446
日本人,4,13202,立川市,82,74,77,94,108,96,95,93,95,97,82,88,1081
日本人,4,13203,武蔵野市,73,62,64,81,83,78,86,64,69,79,60,71,870
日本人,4,13204,三鷹市,98,80,79,91,85,78,94,90,103,89,80,94,1061
日本人,4,13205,青梅市,45,33,36,47,38,36,56,46,45,42,43,40,507
日本人,4,13206,府中市,148,101,117,121,114,129,130,130,136,129,125,122,1502
日本人,4,13207,昭島市,57,44,48,48,57,62,74,59,50,68,61,63,691
日本人,4,13208,調布市,109,103,104,103,128,138,139,117,122,130,137,139,1469
日本人,4,13209,町田市,164,152,162,166,187,176,200,202,190,183,174,184,2140
日本人,4,13210,小金井市,82,55,53,72,80,99,76,83,64,92,68,77,901
日本人,4,13211,小平市,84,74,76,99,83,115,116,105,119,106,98,78,1153
日本人,4,13212,日野市,111,81,95,89,110,72,104,84,96,84,96,91,1113
日本人,4,13213,東村山市,69,60,48,62,62,67,88,68,69,68,62,53,776
日本人,4,13214,国分寺市,62,45,61,79,74,69,59,71,81,65,76,64,806
日本人,4,13215,国立市,25,25,26,35,38,31,29,32,36,29,21,36,363
日本人,4,13218,福生市,20,27,22,32,30,16,26,16,26,25,24,26,290
日本人,4,13219,狛江市,32,31,36,31,44,44,48,46,49,45,37,35,478
日本人,4,13220,東大和市,46,36,27,34,43,39,41,28,47,41,37,35,454
日本人,4,13221,清瀬市,42,34,29,39,33,41,32,42,29,33,34,41,429
日本人,4,13222,東久留米市,49,45,55,48,50,54,41,60,65,62,66,56,651
日本人,4,13223,武蔵村山市,27,21,23,27,19,29,26,35,33,26,25,19,310
日本人,4,13224,多摩市,53,49,52,62,56,54,63,62,53,71,50,57,682
日本人,4,13225,稲城市,44,42,41,42,45,49,68,51,52,48,48,44,574
日本人,4,13227,羽村市,28,23,16,24,26,22,17,24,19,28,17,30,274
日本人,4,13228,あきる野市,32,22,33,37,33,27,29,38,21,36,29,36,373
日本人,4,13229,西東京市,94,81,76,89,97,113,95,110,105,93,87,75,1115
日本人,1,13550,町村部,33,22,20,23,21,21,22,23,29,30,23,14,281
日本人,2,13300,郡部,28,15,16,16,16,13,13,17,23,22,14,11,204
日本人,4,13303,瑞穂町,23,8,12,9,11,8,7,11,14,12,8,6,129
日本人,4,13305,日の出町,3,5,4,7,5,4,5,4,7,9,6,4,63
日本人,4,13307,檜原村,1,0,0,0,0,0,0,1,2,1,0,1,6
日本人,4,13308,奥多摩町,1,2,0,0,0,1,1,1,0,0,0,0,6
日本人,2,13350,島部,5,7,4,7,5,8,9,6,6,8,9,3,77
日本人,3,13360,大島支庁,1,1,3,3,2,4,5,3,3,4,6,2,37
日本人,4,13361,大島町,1,0,1,1,2,4,3,1,2,0,6,1,22
日本人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
日本人,4,13363,新島村,0,0,1,0,0,0,1,1,1,3,0,0,7
日本人,4,13364,神津島村,0,1,1,2,0,0,1,1,0,1,0,1,8
日本人,3,13380,三宅支庁,0,2,0,0,1,0,1,1,0,0,2,0,7
日本人,4,13381,三宅村,0,2,0,0,1,0,1,0,0,0,1,0,5
日本人,4,13382,御蔵島村,0,0,0,0,0,0,0,1,0,0,1,0,2
日本人,3,13400,八丈支庁,2,3,1,2,1,2,3,1,0,2,0,1,18
日本人,4,13401,八丈町,2,3,1,2,1,2,2,1,0,1,0,1,16
日本人,4,13402,青ヶ島村,0,0,0,0,0,0,1,0,0,1,0,0,2
