国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,0,13000,総数,-9463,-5758,-6216,-4171,-3153,-2287,-2603,-2914,-3000,-3287,-3644,-4746,-51242
総数,1,13100,区部,-5639,-3160,-3569,-2243,-1458,-918,-1226,-1301,-1277,-1446,-1932,-2520,-26689
総数,1,13200,市部,-3700,-2486,-2538,-1845,-1590,-1291,-1294,-1530,-1633,-1749,-1609,-2094,-23359
総数,2,13300,郡部,-85,-82,-74,-59,-77,-64,-68,-60,-63,-71,-75,-101,-879
総数,2,13350,島部,-39,-30,-35,-24,-28,-14,-15,-23,-27,-21,-28,-31,-315
総数,1,13100,区部,-5639,-3160,-3569,-2243,-1458,-918,-1226,-1301,-1277,-1446,-1932,-2520,-26689
総数,4,13101,千代田区,1,-10,-8,12,28,22,5,5,13,7,7,4,86
総数,4,13102,中央区,37,15,43,60,69,85,97,102,59,114,50,88,819
総数,4,13103,港区,-3,26,-9,46,67,98,82,101,83,76,59,35,661
総数,4,13104,新宿区,-169,-121,-74,-139,-32,0,-47,-76,-50,-21,-43,-85,-857
総数,4,13105,文京区,-85,-38,-60,-11,6,32,40,5,23,16,-7,-4,-83
総数,4,13106,台東区,-120,-27,-60,-51,-17,-8,-38,-15,-30,13,-20,-23,-396
総数,4,13107,墨田区,-107,-90,-116,-34,-9,-11,-33,10,26,-10,-31,-49,-454
総数,4,13108,江東区,-263,-172,-154,-87,-74,-60,-1,-51,-2,-92,-70,-72,-1098
総数,4,13109,品川区,-206,-43,-105,-38,74,-7,-12,14,-36,-20,-34,-59,-472
総数,4,13110,目黒区,-120,-27,-49,-45,-14,27,25,36,-39,-5,-36,-6,-253
総数,4,13111,大田区,-492,-332,-319,-206,-145,-114,-167,-160,-135,-183,-197,-183,-2633
総数,4,13112,世田谷区,-433,-201,-286,-138,-144,-43,-24,-48,-30,-67,-81,-288,-1783
総数,4,13113,渋谷区,-73,17,-59,-9,-26,-1,-21,-1,-1,-6,-16,-28,-224
総数,4,13114,中野区,-188,-106,-146,-60,-49,-12,-71,-58,-52,-59,-67,-88,-956
総数,4,13115,杉並区,-280,-187,-190,-131,-68,-47,-69,-76,-75,-42,-110,-121,-1396
総数,4,13116,豊島区,-119,-86,-96,-87,-39,-33,-29,-46,-47,-56,-25,-61,-724
総数,4,13117,北区,-276,-155,-196,-81,-103,-40,-35,-111,-56,-128,-84,-186,-1451
