国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,4,13118,荒川区,-198,-81,-109,-89,-16,-30,-68,-45,-37,-27,-61,-72,-833
総数,4,13119,板橋区,-449,-243,-264,-259,-180,-144,-153,-152,-142,-165,-192,-248,-2591
総数,4,13120,練馬区,-486,-295,-280,-184,-92,-104,-120,-154,-104,-117,-254,-239,-2429
総数,4,13121,足立区,-754,-459,-454,-322,-333,-261,-299,-241,-300,-363,-353,-399,-4538
総数,4,13122,葛飾区,-396,-252,-250,-204,-170,-136,-122,-175,-166,-166,-188,-219,-2444
総数,4,13123,江戸川区,-460,-293,-328,-186,-191,-131,-166,-165,-179,-145,-179,-217,-2640
総数,1,13200,市部,-3700,-2486,-2538,-1845,-1590,-1291,-1294,-1530,-1633,-1749,-1609,-2094,-23359
総数,4,13201,八王子市,-674,-385,-443,-386,-319,-286,-262,-324,-354,-342,-263,-428,-4466
総数,4,13202,立川市,-153,-119,-92,-73,-59,-48,-50,-57,-59,-55,-72,-50,-887
総数,4,13203,武蔵野市,-62,-59,-61,-17,-10,-6,-19,-40,-24,-16,-48,-37,-399
総数,4,13204,三鷹市,-125,-62,-103,-62,-71,-30,-24,-68,-39,-79,-48,-50,-761
総数,4,13205,青梅市,-206,-152,-151,-118,-83,-106,-99,-102,-100,-109,-114,-128,-1468
総数,4,13206,府中市,-175,-107,-123,-76,-59,-41,-54,-71,-81,-69,-93,-88,-1037
総数,4,13207,昭島市,-96,-63,-90,-58,-42,-34,-14,-52,-52,-49,-39,-55,-644
総数,4,13208,調布市,-161,-92,-96,-70,-51,-25,-25,-48,-38,-41,-9,-58,-714
総数,4,13209,町田市,-458,-290,-297,-239,-204,-158,-158,-164,-246,-232,-216,-270,-2932
総数,4,13210,小金井市,-66,-44,-32,-5,-9,37,-21,-10,-22,23,-12,-15,-176
総数,4,13211,小平市,-160,-124,-90,-62,-57,-17,-53,-39,-48,-77,-50,-92,-869
総数,4,13212,日野市,-88,-112,-78,-57,-41,-65,-34,-61,-46,-74,-47,-91,-794
総数,4,13213,東村山市,-150,-131,-116,-81,-67,-66,-53,-56,-68,-76,-75,-100,-1039
総数,4,13214,国分寺市,-86,-61,-47,-6,-12,-23,-11,-8,10,-27,-18,-44,-333
総数,4,13215,国立市,-61,-38,-37,-31,-20,-29,-34,-37,-29,-44,-32,-5,-397
総数,4,13218,福生市,-61,-42,-41,-31,-23,-29,-26,-36,-28,-28,-31,-45,-421
総数,4,13219,狛江市,-67,-51,-46,-17,-25,-16,-22,-24,-19,-37,-24,-37,-385
総数,4,13220,東大和市,-62,-64,-81,-44,-41,-30,-30,-42,-20,-44,-39,-50,-547
総数,4,13221,清瀬市,-73,-40,-52,-50,-31,-27,-40,-52,-32,-27,-36,-31,-491
総数,4,13222,東久留米市,-133,-68,-65,-74,-56,-26,-80,-43,-53,-40,-39,-88,-765
総数,4,13223,武蔵村山市,-86,-50,-62,-37,-63,-31,-35,-33,-44,-44,-40,-60,-585
総数,4,13224,多摩市,-134,-85,-88,-44,-86,-77,-47,-53,-73,-63,-88,-80,-918
総数,4,13225,稲城市,-52,-24,-28,-20,-18,0,15,-5,-16,-21,-12,-25,-206
総数,4,13227,羽村市,-46,-44,-53,-35,-44,-33,-25,-10,-15,-25,-29,-20,-379
総数,4,13228,あきる野市,-92,-80,-71,-64,-36,-65,-47,-44,-82,-58,-48,-63,-750
総数,4,13229,西東京市,-173,-99,-95,-88,-63,-60,-46,-51,-55,-95,-87,-84,-996
総数,1,13550,町村部,-124,-112,-109,-83,-105,-78,-83,-83,-90,-92,-103,-132,-1194
総数,2,13300,郡部,-85,-82,-74,-59,-77,-64,-68,-60,-63,-71,-75,-101,-879
総数,4,13303,瑞穂町,-23,-32,-22,-16,-27,-25,-29,-24,-19,-26,-30,-37,-310
総数,4,13305,日の出町,-41,-26,-27,-20,-26,-26,-18,-25,-30,-28,-25,-37,-329
総数,4,13307,檜原村,-10,-5,-11,-6,-6,-4,-8,-1,0,-3,-10,-6,-70
総数,4,13308,奥多摩町,-11,-19,-14,-17,-18,-9,-13,-10,-14,-14,-10,-21,-170
総数,2,13350,島部,-39,-30,-35,-24,-28,-14,-15,-23,-27,-21,-28,-31,-315
総数,3,13360,大島支庁,-23,-19,-17,-13,-14,-7,-7,-12,-9,-9,-16,-15,-161
総数,4,13361,大島町,-14,-15,-16,-10,-9,0,-5,-6,-6,-8,-7,-10,-106
総数,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
総数,4,13363,新島村,-4,-5,1,-4,-4,-6,-2,-4,-1,0,-5,-4,-38
総数,4,13364,神津島村,-5,1,-2,1,-1,-1,0,-2,-2,-1,-4,-1,-17
総数,3,13380,三宅支庁,-3,-2,-5,-2,-2,-2,-2,0,-4,-5,0,-6,-33
総数,4,13381,三宅村,-2,-2,-5,-2,-2,-2,-2,-1,-4,-5,-1,-6,-34
総数,4,13382,御蔵島村,-1,0,0,0,0,0,0,1,0,0,1,0,1
総数,3,13400,八丈支庁,-14,-7,-13,-9,-12,-3,-5,-11,-16,-8,-13,-7,-118
総数,4,13401,八丈町,-14,-7,-13,-9,-12,-2,-6,-11,-15,-9,-13,-7,-118
総数,4,13402,青ヶ島村,0,0,0,0,0,-1,1,0,-1,1,0,0,0
総数,3,13420,小笠原支庁,1,-2,0,0,0,-2,-1,0,2,1,1,-3,-3
総数,4,13421,小笠原村,1,-2,0,0,0,-2,-1,0,2,1,1,-3,-3
日本人,0,13000,総数,-9693,-5964,-6434,-4367,-3399,-2534,-2841,-3148,-3293,-3563,-3908,-5009,-54153
日本人,1,13100,区部,-5833,-3328,-3766,-2403,-1666,-1125,-1419,-1491,-1522,-1674,-2155,-2743,-29125
日本人,1,13200,市部,-3735,-2523,-2559,-1881,-1628,-1329,-1337,-1572,-1680,-1798,-1650,-2135,-23827
日本人,2,13300,郡部,-86,-83,-74,-59,-77,-66,-70,-63,-64,-70,-75,-100,-887
日本人,2,13350,島部,-39,-30,-35,-24,-28,-14,-15,-22,-27,-21,-28,-31,-314
日本人,1,13100,区部,-5833,-3328,-3766,-2403,-1666,-1125,-1419,-1491,-1522,-1674,-2155,-2743,-29125
日本人,4,13101,千代田区,1,-12,-9,13,28,23,4,5,13,5,6,5,82
日本人,4,13102,中央区,29,10,39,56,66,84,92,104,58,114,45,80,777
日本人,4,13103,港区,-10,10,-16,46,56,87,72,93,72,72,54,30,566
日本人,4,13104,新宿区,-180,-126,-84,-144,-38,-15,-56,-82,-62,-35,-60,-98,-980
日本人,4,13105,文京区,-89,-43,-58,-14,2,30,38,2,16,11,-9,-6,-120
日本人,4,13106,台東区,-123,-27,-63,-51,-18,-14,-41,-21,-32,7,-28,-27,-438
日本人,4,13107,墨田区,-109,-89,-118,-33,-12,-18,-35,3,21,-14,-40,-54,-498
日本人,4,13108,江東区,-278,-184,-171,-102,-79,-74,-13,-72,-17,-102,-81,-88,-1261
日本人,4,13109,品川区,-208,-47,-110,-42,64,-9,-13,11,-41,-26,-37,-64,-522
日本人,4,13110,目黒区,-121,-28,-50,-48,-20,21,20,31,-39,-7,-41,-15,-297
日本人,4,13111,大田区,-504,-336,-331,-218,-161,-124,-175,-169,-154,-197,-211,-199,-2779
日本人,4,13112,世田谷区,-438,-210,-298,-144,-150,-48,-30,-52,-37,-74,-85,-288,-1854
日本人,4,13113,渋谷区,-77,13,-61,-11,-30,-7,-22,0,-4,-7,-18,-32,-256
日本人,4,13114,中野区,-193,-114,-153,-72,-54,-20,-79,-64,-64,-67,-74,-97,-1051
日本人,4,13115,杉並区,-291,-193,-195,-133,-79,-53,-79,-84,-80,-46,-110,-130,-1473
日本人,4,13116,豊島区,-135,-105,-99,-101,-56,-40,-45,-48,-58,-66,-34,-70,-857
日本人,4,13117,北区,-290,-164,-222,-100,-109,-51,-48,-128,-86,-143,-102,-199,-1642
日本人,4,13118,荒川区,-203,-88,-118,-85,-21,-38,-76,-46,-45,-36,-65,-70,-891
日本人,4,13119,板橋区,-462,-259,-279,-275,-192,-156,-170,-172,-165,-187,-213,-260,-2790
日本人,4,13120,練馬区,-486,-292,-286,-185,-96,-105,-130,-158,-112,-129,-266,-252,-2497
日本人,4,13121,足立区,-759,-475,-463,-336,-358,-279,-318,-260,-311,-394,-380,-418,-4751
日本人,4,13122,葛飾区,-411,-262,-263,-218,-187,-158,-137,-193,-188,-176,-201,-242,-2636
日本人,4,13123,江戸川区,-496,-307,-358,-206,-222,-161,-178,-191,-207,-177,-205,-249,-2957
日本人,1,13200,市部,-3735,-2523,-2559,-1881,-1628,-1329,-1337,-1572,-1680,-1798,-1650,-2135,-23827
日本人,4,13201,八王子市,-680,-392,-447,-390,-326,-289,-267,-332,-359,-351,-269,-431,-4533
日本人,4,13202,立川市,-153,-120,-95,-76,-58,-54,-50,-57,-61,-57,-72,-53,-906
日本人,4,13203,武蔵野市,-62,-59,-60,-17,-10,-7,-20,-39,-25,-19,-49,-37,-404
日本人,4,13204,三鷹市,-125,-64,-102,-63,-71,-32,-24,-69,-41,-82,-51,-52,-776
日本人,4,13205,青梅市,-208,-153,-150,-118,-85,-106,-99,-106,-101,-108,-115,-131,-1480
日本人,4,13206,府中市,-173,-113,-124,-75,-64,-44,-55,-72,-84,-70,-94,-91,-1059
日本人,4,13207,昭島市,-98,-63,-89,-59,-41,-40,-17,-51,-52,-47,-40,-56,-653
日本人,4,13208,調布市,-162,-95,-96,-70,-50,-24,-27,-49,-38,-41,-12,-57,-721
日本人,4,13209,町田市,-461,-295,-298,-246,-204,-162,-166,-173,-250,-239,-222,-272,-2988
日本人,4,13210,小金井市,-68,-45,-40,-5,-11,34,-21,-13,-28,20,-12,-14,-203
日本人,4,13211,小平市,-160,-125,-91,-62,-57,-20,-56,-42,-50,-80,-54,-94,-891
日本人,4,13212,日野市,-91,-115,-77,-58,-41,-66,-35,-63,-46,-75,-48,-93,-808
日本人,4,13213,東村山市,-150,-131,-115,-81,-69,-66,-55,-56,-73,-75,-78,-105,-1054
日本人,4,13214,国分寺市,-85,-62,-46,-12,-14,-23,-12,-8,6,-28,-19,-47,-350
日本人,4,13215,国立市,-63,-38,-37,-29,-21,-30,-35,-36,-28,-44,-34,-6,-401
日本人,4,13218,福生市,-65,-41,-43,-34,-29,-30,-30,-39,-34,-36,-32,-46,-459
日本人,4,13219,狛江市,-69,-51,-47,-17,-25,-17,-24,-24,-20,-38,-23,-39,-394
日本人,4,13220,東大和市,-62,-64,-82,-44,-41,-28,-29,-41,-19,-45,-38,-50,-543
日本人,4,13221,清瀬市,-75,-40,-51,-49,-32,-28,-41,-51,-35,-29,-35,-33,-499
日本人,4,13222,東久留米市,-132,-71,-66,-77,-58,-27,-80,-44,-54,-44,-41,-92,-786
日本人,4,13223,武蔵村山市,-88,-50,-62,-39,-63,-31,-35,-33,-43,-44,-40,-60,-588
日本人,4,13224,多摩市,-135,-86,-89,-50,-89,-77,-49,-57,-75,-64,-90,-81,-942
日本人,4,13225,稲城市,-54,-22,-29,-19,-20,-4,14,-7,-16,-21,-13,-25,-216
日本人,4,13227,羽村市,-48,-44,-54,-37,-47,-32,-27,-10,-16,-24,-32,-22,-393
日本人,4,13228,あきる野市,-92,-82,-71,-65,-37,-65,-47,-44,-82,-57,-49,-61,-752
日本人,4,13229,西東京市,-176,-102,-98,-89,-65,-61,-50,-56,-56,-100,-88,-87,-1028
日本人,1,13550,町村部,-125,-113,-109,-83,-105,-80,-85,-85,-91,-91,-103,-131,-1201
日本人,2,13300,郡部,-86,-83,-74,-59,-77,-66,-70,-63,-64,-70,-75,-100,-887
日本人,4,13303,瑞穂町,-24,-33,-22,-16,-27,-26,-31,-25,-19,-26,-30,-36,-315
日本人,4,13305,日の出町,-41,-26,-27,-20,-26,-27,-18,-27,-31,-27,-25,-37,-332
日本人,4,13307,檜原村,-10,-5,-11,-6,-6,-4,-8,-1,0,-3,-10,-6,-70
日本人,4,13308,奥多摩町,-11,-19,-14,-17,-18,-9,-13,-10,-14,-14,-10,-21,-170
日本人,2,13350,島部,-39,-30,-35,-24,-28,-14,-15,-22,-27,-21,-28,-31,-314
日本人,3,13360,大島支庁,-23,-19,-17,-13,-14,-7,-7,-12,-9,-9,-16,-15,-161
日本人,4,13361,大島町,-14,-15,-16,-10,-9,0,-5,-6,-6,-8,-7,-10,-106
日本人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
日本人,4,13363,新島村,-4,-5,1,-4,-4,-6,-2,-4,-1,0,-5,-4,-38
日本人,4,13364,神津島村,-5,1,-2,1,-1,-1,0,-2,-2,-1,-4,-1,-17
日本人,3,13380,三宅支庁,-3,-2,-5,-2,-2,-2,-2,0,-4,-5,0,-6,-33
日本人,4,13381,三宅村,-2,-2,-5,-2,-2,-2,-2,-1,-4,-5,-1,-6,-34
日本人,4,13382,御蔵島村,-1,0,0,0,0,0,0,1,0,0,1,0,1
日本人,3,13400,八丈支庁,-14,-7,-13,-9,-12,-3,-5,-10,-16,-8,-13,-7,-117
日本人,4,13401,八丈町,-14,-7,-13,-9,-12,-2,-6,-10,-15,-9,-13,-7,-117
日本人,4,13402,青ヶ島村,0,0,0,0,0,-1,1,0,-1,1,0,0,0
日本人,3,13420,小笠原支庁,1,-2,0,0,0,-2,-1,0,2,1,1,-3,-3
日本人,4,13421,小笠原村,1,-2,0,0,0,-2,-1,0,2,1,1,-3,-3
外国人,0,13000,総数,230,206,218,196,246,247,238,234,293,276,264,263,2911
外国人,1,13100,区部,194,168,197,160,208,207,193,190,245,228,223,223,2436
外国人,1,13200,市部,35,37,21,36,38,38,43,42,47,49,41,41,468
外国人,2,13300,郡部,1,1,0,0,0,2,2,3,1,-1,0,-1,8
外国人,2,13350,島部,0,0,0,0,0,0,0,-1,0,0,0,0,-1
外国人,1,13100,区部,194,168,197,160,208,207,193,190,245,228,223,223,2436
外国人,4,13101,千代田区,0,2,1,-1,0,-1,1,0,0,2,1,-1,4
外国人,4,13102,中央区,8,5,4,4,3,1,5,-2,1,0,5,8,42
外国人,4,13103,港区,7,16,7,0,11,11,10,8,11,4,5,5,95
外国人,4,13104,新宿区,11,5,10,5,6,15,9,6,12,14,17,13,123
外国人,4,13105,文京区,4,5,-2,3,4,2,2,3,7,5,2,2,37
外国人,4,13106,台東区,3,0,3,0,1,6,3,6,2,6,8,4,42
外国人,4,13107,墨田区,2,-1,2,-1,3,7,2,7,5,4,9,5,44
外国人,4,13108,江東区,15,12,17,15,5,14,12,21,15,10,11,16,163
外国人,4,13109,品川区,2,4,5,4,10,2,1,3,5,6,3,5,50
外国人,4,13110,目黒区,1,1,1,3,6,6,5,5,0,2,5,9,44
外国人,4,13111,大田区,12,4,12,12,16,10,8,9,19,14,14,16,146
外国人,4,13112,世田谷区,5,9,12,6,6,5,6,4,7,7,4,0,71
外国人,4,13113,渋谷区,4,4,2,2,4,6,1,-1,3,1,2,4,32
外国人,4,13114,中野区,5,8,7,12,5,8,8,6,12,8,7,9,95
外国人,4,13115,杉並区,11,6,5,2,11,6,10,8,5,4,0,9,77
外国人,4,13116,豊島区,16,19,3,14,17,7,16,2,11,10,9,9,133
外国人,4,13117,北区,14,9,26,19,6,11,13,17,30,15,18,13,191
外国人,4,13118,荒川区,5,7,9,-4,5,8,8,1,8,9,4,-2,58
外国人,4,13119,板橋区,13,16,15,16,12,12,17,20,23,22,21,12,199
外国人,4,13120,練馬区,0,-3,6,1,4,1,10,4,8,12,12,13,68
外国人,4,13121,足立区,5,16,9,14,25,18,19,19,11,31,27,19,213
外国人,4,13122,葛飾区,15,10,13,14,17,22,15,18,22,10,13,23,192
外国人,4,13123,江戸川区,36,14,30,20,31,30,12,26,28,32,26,32,317
外国人,1,13200,市部,35,37,21,36,38,38,43,42,47,49,41,41,468
外国人,4,13201,八王子市,6,7,4,4,7,3,5,8,5,9,6,3,67
外国人,4,13202,立川市,0,1,3,3,-1,6,0,0,2,2,0,3,19
外国人,4,13203,武蔵野市,0,0,-1,0,0,1,1,-1,1,3,1,0,5
外国人,4,13204,三鷹市,0,2,-1,1,0,2,0,1,2,3,3,2,15
外国人,4,13205,青梅市,2,1,-1,0,2,0,0,4,1,-1,1,3,12
外国人,4,13206,府中市,-2,6,1,-1,5,3,1,1,3,1,1,3,22
外国人,4,13207,昭島市,2,0,-1,1,-1,6,3,-1,0,-2,1,1,9
外国人,4,13208,調布市,1,3,0,0,-1,-1,2,1,0,0,3,-1,7
外国人,4,13209,町田市,3,5,1,7,0,4,8,9,4,7,6,2,56
外国人,4,13210,小金井市,2,1,8,0,2,3,0,3,6,3,0,-1,27
外国人,4,13211,小平市,0,1,1,0,0,3,3,3,2,3,4,2,22
外国人,4,13212,日野市,3,3,-1,1,0,1,1,2,0,1,1,2,14
外国人,4,13213,東村山市,0,0,-1,0,2,0,2,0,5,-1,3,5,15
外国人,4,13214,国分寺市,-1,1,-1,6,2,0,1,0,4,1,1,3,17
外国人,4,13215,国立市,2,0,0,-2,1,1,1,-1,-1,0,2,1,4
外国人,4,13218,福生市,4,-1,2,3,6,1,4,3,6,8,1,1,38
外国人,4,13219,狛江市,2,0,1,0,0,1,2,0,1,1,-1,2,9
外国人,4,13220,東大和市,0,0,1,0,0,-2,-1,-1,-1,1,-1,0,-4
外国人,4,13221,清瀬市,2,0,-1,-1,1,1,1,-1,3,2,-1,2,8
外国人,4,13222,東久留米市,-1,3,1,3,2,1,0,1,1,4,2,4,21
外国人,4,13223,武蔵村山市,2,0,0,2,0,0,0,0,-1,0,0,0,3
外国人,4,13224,多摩市,1,1,1,6,3,0,2,4,2,1,2,1,24
外国人,4,13225,稲城市,2,-2,1,-1,2,4,1,2,0,0,1,0,10
外国人,4,13227,羽村市,2,0,1,2,3,-1,2,0,1,-1,3,2,14
外国人,4,13228,あきる野市,0,2,0,1,1,0,0,0,0,-1,1,-2,2
外国人,4,13229,西東京市,3,3,3,1,2,1,4,5,1,5,1,3,32
外国人,1,13550,町村部,1,1,0,0,0,2,2,2,1,-1,0,-1,7
外国人,2,13300,郡部,1,1,0,0,0,2,2,3,1,-1,0,-1,8
外国人,4,13303,瑞穂町,1,1,0,0,0,1,2,1,0,0,0,-1,5
外国人,4,13305,日の出町,0,0,0,0,0,1,0,2,1,-1,0,0,3
外国人,4,13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,2,13350,島部,0,0,0,0,0,0,0,-1,0,0,0,0,-1
外国人,3,13360,大島支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13361,大島町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13363,新島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13364,神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13380,三宅支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13381,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13400,八丈支庁,0,0,0,0,0,0,0,-1,0,0,0,0,-1
外国人,4,13401,八丈町,0,0,0,0,0,0,0,-1,0,0,0,0,-1
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13420,小笠原支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13421,小笠原村,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
人口の動き（令和7年中）,,,,,,,,,,,,,,,,
第14－１・２・３表　区市町村、月別自然増減（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
