地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
4,13102,中央区,1,35～39,16658,7917,8741,14606,6922,7684,2052,995,1057
4,13102,中央区,1,40～44,17598,8518,9080,15891,7648,8243,1707,870,837
4,13102,中央区,1,45～49,17459,8284,9175,16233,7671,8562,1226,613,613
4,13102,中央区,1,50～54,17341,8303,9038,16438,7840,8598,903,463,440
4,13102,中央区,1,55～59,13974,6759,7215,13230,6382,6848,744,377,367
4,13102,中央区,1,60～64,10625,5267,5358,10022,4960,5062,603,307,296
4,13102,中央区,1,65～69,6629,3276,3353,6276,3092,3184,353,184,169
4,13102,中央区,1,70～74,5404,2517,2887,5222,2427,2795,182,90,92
4,13102,中央区,1,75～79,6129,2696,3433,6032,2642,3390,97,54,43
4,13102,中央区,1,80～84,4202,1612,2590,4162,1592,2570,40,20,20
4,13102,中央区,1,85～89,2732,875,1857,2704,867,1837,28,8,20
4,13102,中央区,1,90～94,1589,453,1136,1579,451,1128,10,2,8
4,13102,中央区,1,95～99,443,89,354,440,87,353,3,2,1
4,13102,中央区,1,100以上,72,10,62,71,9,62,1,1,-
4,13102,中央区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13103,港区,0,総数,269877,127056,142821,245976,114829,131147,23901,12227,11674
4,13103,港区,1,0～4,11515,5860,5655,10676,5419,5257,839,441,398
4,13103,港区,1,5～9,12663,6380,6283,11569,5858,5711,1094,522,572
4,13103,港区,1,10～14,11858,5995,5863,10867,5497,5370,991,498,493
4,13103,港区,1,15～19,9660,4941,4719,8878,4519,4359,782,422,360
4,13103,港区,1,20～24,11194,5506,5688,9937,4883,5054,1257,623,634
4,13103,港区,1,25～29,18009,8850,9159,16151,7920,8231,1858,930,928
4,13103,港区,1,30～34,20580,9794,10786,17988,8533,9455,2592,1261,1331
4,13103,港区,1,35～39,20957,9654,11303,17944,8171,9773,3013,1483,1530
4,13103,港区,1,40～44,22703,10619,12084,19770,9160,10610,2933,1459,1474
4,13103,港区,1,45～49,23212,11053,12159,20895,9859,11036,2317,1194,1123
4,13103,港区,1,50～54,23838,11058,12780,21899,9977,11922,1939,1081,858
4,13103,港区,1,55～59,20596,9952,10644,18976,9018,9958,1620,934,686
4,13103,港区,1,60～64,16164,7883,8281,15039,7284,7755,1125,599,526
4,13103,港区,1,65～69,11371,5477,5894,10698,5125,5573,673,352,321
4,13103,港区,1,70～74,9283,4179,5104,8881,3979,4902,402,200,202
4,13103,港区,1,75～79,10538,4558,5980,10296,4435,5861,242,123,119
